Lipid,Standard,Concentration (nmol/ml),RelativeAbundance
Gb3(d18:1)(C25:0) SL Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,0
Gb3(d18:1)(C25:1) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d18:1)(C25:1) SL Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,0
Gb3(d18:1)(C26:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d18:1)(C26:0) SL Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,0
Gb3(d18:2)(C16:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d18:2)(C18:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d18:2)(C22:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d18:2)(C24:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d18:2)(C24:1) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d16:1)(C16:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C16:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C16:1) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C17:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C18:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C18:1) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C19:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C20:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C20:1) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C22:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C22:1) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C23:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C24:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C24:1) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C25:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C25:1) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:1)(C26:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:2)(C16:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:2)(C18:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:2)(C22:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:2)(C24:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb4(d18:2)(C24:1) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d16:1/C14:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d16:1/C16:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d16:1/C18:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
